,Year,Nation,DEG_URB,LEVELS,SEX,AGE,Percentage
34448,2017,Belgium,Towns and suburbs,Very good,Males,65 years or over,12.6
34449,2017,Belgium,Towns and suburbs,Very good,Males,From 75 to 84 years,8.8
34450,2017,Belgium,Towns and suburbs,Very good,Males,75 years or over,9.1
34451,2017,Belgium,Towns and suburbs,Very good,Males,85 years or over,10.4
34452,2017,Belgium,Towns and suburbs,Very good,Females,From 16 to 24 years,58.9
34453,2017,Belgium,Towns and suburbs,Very good,Females,From 25 to 29 years,56.6
34454,2017,Belgium,Towns and suburbs,Very good,Females,From 25 to 34 years,48.2
34455,2017,Belgium,Towns and suburbs,Very good,Females,From 35 to 44 years,33.9
34456,2017,Belgium,Towns and suburbs,Very good,Females,From 45 to 54 years,26.0
34457,2017,Belgium,Towns and suburbs,Very good,Females,From 45 to 64 years,20.9
34458,2017,Belgium,Towns and suburbs,Very good,Females,From 55 to 64 years,15.3
34459,2017,Belgium,Towns and suburbs,Very good,Females,From 65 to 74 years,10.5
34460,2017,Belgium,Towns and suburbs,Very good,Females,65 years or over,7.8
34461,2017,Belgium,Towns and suburbs,Very good,Females,From 75 to 84 years,5.6
34462,2017,Belgium,Towns and suburbs,Very good,Females,75 years or over,4.8
34463,2017,Belgium,Towns and suburbs,Very good,Females,85 years or over,2.4
34464,2017,Belgium,Towns and suburbs,Good,Males,From 16 to 24 years,37.7
34465,2017,Belgium,Towns and suburbs,Good,Males,From 25 to 29 years,44.4
34466,2017,Belgium,Towns and suburbs,Good,Males,From 25 to 34 years,45.1
34467,2017,Belgium,Towns and suburbs,Good,Males,From 35 to 44 years,47.3
34468,2017,Belgium,Towns and suburbs,Good,Males,From 45 to 54 years,53.0
34469,2017,Belgium,Towns and suburbs,Good,Males,From 45 to 64 years,53.6
34470,2017,Belgium,Towns and suburbs,Good,Males,From 55 to 64 years,54.3
34471,2017,Belgium,Towns and suburbs,Good,Males,From 65 to 74 years,48.5
34472,2017,Belgium,Towns and suburbs,Good,Males,65 years or over,44.1
34473,2017,Belgium,Towns and suburbs,Good,Males,From 75 to 84 years,42.6
34474,2017,Belgium,Towns and suburbs,Good,Males,75 years or over,38.0
34475,2017,Belgium,Towns and suburbs,Good,Males,85 years or over,17.6
34476,2017,Belgium,Towns and suburbs,Good,Females,From 16 to 24 years,33.2
34477,2017,Belgium,Towns and suburbs,Good,Females,From 25 to 29 years,34.8
34478,2017,Belgium,Towns and suburbs,Good,Females,From 25 to 34 years,38.9
34479,2017,Belgium,Towns and suburbs,Good,Females,From 35 to 44 years,47.6
34480,2017,Belgium,Towns and suburbs,Good,Females,From 45 to 54 years,49.5
34481,2017,Belgium,Towns and suburbs,Good,Females,From 45 to 64 years,50.2
34482,2017,Belgium,Towns and suburbs,Good,Females,From 55 to 64 years,50.9
34483,2017,Belgium,Towns and suburbs,Good,Females,From 65 to 74 years,52.0
34484,2017,Belgium,Towns and suburbs,Good,Females,65 years or over,44.4
34485,2017,Belgium,Towns and suburbs,Good,Females,From 75 to 84 years,35.6
34486,2017,Belgium,Towns and suburbs,Good,Females,75 years or over,35.9
34487,2017,Belgium,Towns and suburbs,Good,Females,85 years or over,36.6
34488,2017,Belgium,Towns and suburbs,Very good or good,Males,From 16 to 24 years,94.4
34489,2017,Belgium,Towns and suburbs,Very good or good,Males,From 25 to 29 years,87.8
34490,2017,Belgium,Towns and suburbs,Very good or good,Males,From 25 to 34 years,90.7
34491,2017,Belgium,Towns and suburbs,Very good or good,Males,From 35 to 44 years,85.6
34492,2017,Belgium,Towns and suburbs,Very good or good,Males,From 45 to 54 years,80.5
34493,2017,Belgium,Towns and suburbs,Very good or good,Males,From 45 to 64 years,75.6
34494,2017,Belgium,Towns and suburbs,Very good or good,Males,From 55 to 64 years,70.5
34495,2017,Belgium,Towns and suburbs,Very good or good,Males,From 65 to 74 years,63.7
34496,2017,Belgium,Towns and suburbs,Very good or good,Males,65 years or over,56.7
34497,2017,Belgium,Towns and suburbs,Very good or good,Males,From 75 to 84 years,51.4
34498,2017,Belgium,Towns and suburbs,Very good or good,Males,75 years or over,47.1
34499,2017,Belgium,Towns and suburbs,Very good or good,Males,85 years or over,28.0
34500,2017,Belgium,Towns and suburbs,Very good or good,Females,From 16 to 24 years,92.1
34501,2017,Belgium,Towns and suburbs,Very good or good,Females,From 25 to 29 years,91.4
34502,2017,Belgium,Towns and suburbs,Very good or good,Females,From 25 to 34 years,87.1
34503,2017,Belgium,Towns and suburbs,Very good or good,Females,From 35 to 44 years,81.5
34504,2017,Belgium,Towns and suburbs,Very good or good,Females,From 45 to 54 years,75.5
34505,2017,Belgium,Towns and suburbs,Very good or good,Females,From 45 to 64 years,71.0
34506,2017,Belgium,Towns and suburbs,Very good or good,Females,From 55 to 64 years,66.2
34507,2017,Belgium,Towns and suburbs,Very good or good,Females,From 65 to 74 years,62.4
34508,2017,Belgium,Towns and suburbs,Very good or good,Females,65 years or over,52.2
34509,2017,Belgium,Towns and suburbs,Very good or good,Females,From 75 to 84 years,41.3
34510,2017,Belgium,Towns and suburbs,Very good or good,Females,75 years or over,40.7
34511,2017,Belgium,Towns and suburbs,Very good or good,Females,85 years or over,39.0
34512,2017,Belgium,Towns and suburbs,Fair,Males,From 16 to 24 years,4.8
34513,2017,Belgium,Towns and suburbs,Fair,Males,From 25 to 29 years,10.2
34514,2017,Belgium,Towns and suburbs,Fair,Males,From 25 to 34 years,7.1
34515,2017,Belgium,Towns and suburbs,Fair,Males,From 35 to 44 years,10.7
34516,2017,Belgium,Towns and suburbs,Fair,Males,From 45 to 54 years,13.6
34517,2017,Belgium,Towns and suburbs,Fair,Males,From 45 to 64 years,17.8
34518,2017,Belgium,Towns and suburbs,Fair,Males,From 55 to 64 years,22.1
34519,2017,Belgium,Towns and suburbs,Fair,Males,From 65 to 74 years,27.9
34520,2017,Belgium,Towns and suburbs,Fair,Males,65 years or over,31.4
34521,2017,Belgium,Towns and suburbs,Fair,Males,From 75 to 84 years,32.5
34522,2017,Belgium,Towns and suburbs,Fair,Males,75 years or over,36.3
34523,2017,Belgium,Towns and suburbs,Fair,Males,85 years or over,52.8
34524,2017,Belgium,Towns and suburbs,Fair,Females,From 16 to 24 years,6.6
34525,2017,Belgium,Towns and suburbs,Fair,Females,From 25 to 29 years,5.8
34526,2017,Belgium,Towns and suburbs,Fair,Females,From 25 to 34 years,9.1
34527,2017,Belgium,Towns and suburbs,Fair,Females,From 35 to 44 years,11.6
34528,2017,Belgium,Towns and suburbs,Fair,Females,From 45 to 54 years,16.1
34529,2017,Belgium,Towns and suburbs,Fair,Females,From 45 to 64 years,18.1
34530,2017,Belgium,Towns and suburbs,Fair,Females,From 55 to 64 years,20.3
34531,2017,Belgium,Towns and suburbs,Fair,Females,From 65 to 74 years,27.1
34532,2017,Belgium,Towns and suburbs,Fair,Females,65 years or over,31.8
34533,2017,Belgium,Towns and suburbs,Fair,Females,From 75 to 84 years,39.2
34534,2017,Belgium,Towns and suburbs,Fair,Females,75 years or over,37.0
34535,2017,Belgium,Towns and suburbs,Fair,Females,85 years or over,30.1
34536,2017,Belgium,Towns and suburbs,Bad,Males,From 16 to 24 years,0.6
34537,2017,Belgium,Towns and suburbs,Bad,Males,From 25 to 29 years,2.0
34538,2017,Belgium,Towns and suburbs,Bad,Males,From 25 to 34 years,2.2
34539,2017,Belgium,Towns and suburbs,Bad,Males,From 35 to 44 years,2.9
34540,2017,Belgium,Towns and suburbs,Bad,Males,From 45 to 54 years,4.8
34541,2017,Belgium,Towns and suburbs,Bad,Males,From 45 to 64 years,5.2
34542,2017,Belgium,Towns and suburbs,Bad,Males,From 55 to 64 years,5.6
34543,2017,Belgium,Towns and suburbs,Bad,Males,From 65 to 74 years,6.9
34544,2017,Belgium,Towns and suburbs,Bad,Males,65 years or over,9.8
34545,2017,Belgium,Towns and suburbs,Bad,Males,From 75 to 84 years,13.4
34546,2017,Belgium,Towns and suburbs,Bad,Males,75 years or over,13.7
34547,2017,Belgium,Towns and suburbs,Bad,Males,85 years or over,15.2
34548,2017,Belgium,Towns and suburbs,Bad,Females,From 16 to 24 years,0.8
34549,2017,Belgium,Towns and suburbs,Bad,Females,From 25 to 29 years,2.8
34550,2017,Belgium,Towns and suburbs,Bad,Females,From 25 to 34 years,3.2
34551,2017,Belgium,Towns and suburbs,Bad,Females,From 35 to 44 years,5.3
34552,2017,Belgium,Towns and suburbs,Bad,Females,From 45 to 54 years,6.5
34553,2017,Belgium,Towns and suburbs,Bad,Females,From 45 to 64 years,8.8
34554,2017,Belgium,Towns and suburbs,Bad,Females,From 55 to 64 years,11.2
34555,2017,Belgium,Towns and suburbs,Bad,Females,From 65 to 74 years,9.1
34556,2017,Belgium,Towns and suburbs,Bad,Females,65 years or over,12.8
34557,2017,Belgium,Towns and suburbs,Bad,Females,From 75 to 84 years,14.2
34558,2017,Belgium,Towns and suburbs,Bad,Females,75 years or over,17.0
34559,2017,Belgium,Towns and suburbs,Bad,Females,85 years or over,25.4
34560,2017,Belgium,Towns and suburbs,Very bad,Males,From 16 to 24 years,0.2
34561,2017,Belgium,Towns and suburbs,Very bad,Males,From 25 to 29 years,0.0
34562,2017,Belgium,Towns and suburbs,Very bad,Males,From 25 to 34 years,0.0
34563,2017,Belgium,Towns and suburbs,Very bad,Males,From 35 to 44 years,0.8
34564,2017,Belgium,Towns and suburbs,Very bad,Males,From 45 to 54 years,1.1
34565,2017,Belgium,Towns and suburbs,Very bad,Males,From 45 to 64 years,1.4
34566,2017,Belgium,Towns and suburbs,Very bad,Males,From 55 to 64 years,1.8
34567,2017,Belgium,Towns and suburbs,Very bad,Males,From 65 to 74 years,1.6
34568,2017,Belgium,Towns and suburbs,Very bad,Males,65 years or over,2.1
34569,2017,Belgium,Towns and suburbs,Very bad,Males,From 75 to 84 years,2.7
34570,2017,Belgium,Towns and suburbs,Very bad,Males,75 years or over,2.9
34571,2017,Belgium,Towns and suburbs,Very bad,Males,85 years or over,4.0
34572,2017,Belgium,Towns and suburbs,Very bad,Females,From 16 to 24 years,0.5
34573,2017,Belgium,Towns and suburbs,Very bad,Females,From 25 to 29 years,0.0
34574,2017,Belgium,Towns and suburbs,Very bad,Females,From 25 to 34 years,0.7
34575,2017,Belgium,Towns and suburbs,Very bad,Females,From 35 to 44 years,1.6
34576,2017,Belgium,Towns and suburbs,Very bad,Females,From 45 to 54 years,1.9
34577,2017,Belgium,Towns and suburbs,Very bad,Females,From 45 to 64 years,2.1
34578,2017,Belgium,Towns and suburbs,Very bad,Females,From 55 to 64 years,2.3
34579,2017,Belgium,Towns and suburbs,Very bad,Females,From 65 to 74 years,1.3
34580,2017,Belgium,Towns and suburbs,Very bad,Females,65 years or over,3.2
34581,2017,Belgium,Towns and suburbs,Very bad,Females,From 75 to 84 years,5.3
34582,2017,Belgium,Towns and suburbs,Very bad,Females,75 years or over,5.3
34583,2017,Belgium,Towns and suburbs,Very bad,Females,85 years or over,5.5
34584,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 16 to 24 years,0.9
34585,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 25 to 29 years,2.0
34586,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 25 to 34 years,2.2
34587,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 35 to 44 years,3.7
34588,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 45 to 54 years,5.9
34589,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 45 to 64 years,6.6
34590,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 55 to 64 years,7.3
34591,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 65 to 74 years,8.5
34592,2017,Belgium,Towns and suburbs,Bad or very bad,Males,65 years or over,11.9
34593,2017,Belgium,Towns and suburbs,Bad or very bad,Males,From 75 to 84 years,16.1
34594,2017,Belgium,Towns and suburbs,Bad or very bad,Males,75 years or over,16.7
34595,2017,Belgium,Towns and suburbs,Bad or very bad,Males,85 years or over,19.2
34596,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 16 to 24 years,1.3
34597,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 25 to 29 years,2.8
34598,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 25 to 34 years,3.8
34599,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 35 to 44 years,6.9
34600,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 45 to 54 years,8.4
34601,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 45 to 64 years,10.8
34602,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 55 to 64 years,13.5
34603,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 65 to 74 years,10.4
34604,2017,Belgium,Towns and suburbs,Bad or very bad,Females,65 years or over,16.0
34605,2017,Belgium,Towns and suburbs,Bad or very bad,Females,From 75 to 84 years,19.5
34606,2017,Belgium,Towns and suburbs,Bad or very bad,Females,75 years or over,22.3
34607,2017,Belgium,Towns and suburbs,Bad or very bad,Females,85 years or over,30.9
34608,2017,Belgium,Rural areas,Very good,Males,From 16 to 24 years,67.3
34609,2017,Belgium,Rural areas,Very good,Males,From 25 to 29 years,70.5
34610,2017,Belgium,Rural areas,Very good,Males,From 25 to 34 years,75.8
34611,2017,Belgium,Rural areas,Very good,Males,From 35 to 44 years,47.7
34612,2017,Belgium,Rural areas,Very good,Males,From 45 to 54 years,30.7
34613,2017,Belgium,Rural areas,Very good,Males,From 45 to 64 years,27.1
34614,2017,Belgium,Rural areas,Very good,Males,From 55 to 64 years,22.5
34615,2017,Belgium,Rural areas,Very good,Males,From 65 to 74 years,15.2
34616,2017,Belgium,Rural areas,Very good,Males,65 years or over,12.6
34617,2017,Belgium,Rural areas,Very good,Males,From 75 to 84 years,5.7
34618,2017,Belgium,Rural areas,Very good,Males,75 years or over,8.6
34619,2017,Belgium,Rural areas,Very good,Males,85 years or over,
34620,2017,Belgium,Rural areas,Very good,Females,From 16 to 24 years,52.4
34621,2017,Belgium,Rural areas,Very good,Females,From 25 to 29 years,47.6
34622,2017,Belgium,Rural areas,Very good,Females,From 25 to 34 years,52.2
34623,2017,Belgium,Rural areas,Very good,Females,From 35 to 44 years,43.0
34624,2017,Belgium,Rural areas,Very good,Females,From 45 to 54 years,31.7
34625,2017,Belgium,Rural areas,Very good,Females,From 45 to 64 years,27.2
34626,2017,Belgium,Rural areas,Very good,Females,From 55 to 64 years,21.9
34627,2017,Belgium,Rural areas,Very good,Females,From 65 to 74 years,13.3
34628,2017,Belgium,Rural areas,Very good,Females,65 years or over,10.4
34629,2017,Belgium,Rural areas,Very good,Females,From 75 to 84 years,3.2
34630,2017,Belgium,Rural areas,Very good,Females,75 years or over,7.5
34631,2017,Belgium,Rural areas,Very good,Females,85 years or over,18.7
34632,2017,Belgium,Rural areas,Good,Males,From 16 to 24 years,28.2
34633,2017,Belgium,Rural areas,Good,Males,From 25 to 29 years,21.6
34634,2017,Belgium,Rural areas,Good,Males,From 25 to 34 years,17.8
34635,2017,Belgium,Rural areas,Good,Males,From 35 to 44 years,36.4
