,Year,Nation,DEG_URB,SEX,AGE,Mean income
2564,2017,Denmark,Cities,Females,18 years or over,"32,097"
2565,2017,Denmark,Cities,Females,60 years or over,"31,035"
2566,2017,Denmark,Cities,Females,65 years or over,"29,807"
2567,2017,Denmark,Cities,Females,75 years or over,"26,864"
2568,2017,Denmark,Towns and suburbs,Males,Less than 18 years,"34,158"
2569,2017,Denmark,Towns and suburbs,Males,From 18 to 64 years,"35,085"
2570,2017,Denmark,Towns and suburbs,Males,18 years or over,"33,675"
2571,2017,Denmark,Towns and suburbs,Males,60 years or over,"32,001"
2572,2017,Denmark,Towns and suburbs,Males,65 years or over,"29,485"
2573,2017,Denmark,Towns and suburbs,Males,75 years or over,"25,715"
2574,2017,Denmark,Towns and suburbs,Females,Less than 18 years,"38,740"
2575,2017,Denmark,Towns and suburbs,Females,From 18 to 64 years,"35,731"
2576,2017,Denmark,Towns and suburbs,Females,18 years or over,"33,388"
2577,2017,Denmark,Towns and suburbs,Females,60 years or over,"29,761"
2578,2017,Denmark,Towns and suburbs,Females,65 years or over,"27,573"
2579,2017,Denmark,Towns and suburbs,Females,75 years or over,"24,562"
2580,2017,Denmark,Rural areas,Males,Less than 18 years,"29,390"
2581,2017,Denmark,Rural areas,Males,From 18 to 64 years,"34,122"
2582,2017,Denmark,Rural areas,Males,18 years or over,"31,986"
2583,2017,Denmark,Rural areas,Males,60 years or over,"29,097"
2584,2017,Denmark,Rural areas,Males,65 years or over,"26,703"
2585,2017,Denmark,Rural areas,Males,75 years or over,"23,008"
2586,2017,Denmark,Rural areas,Females,Less than 18 years,"30,161"
2587,2017,Denmark,Rural areas,Females,From 18 to 64 years,"33,264"
2588,2017,Denmark,Rural areas,Females,18 years or over,"30,857"
2589,2017,Denmark,Rural areas,Females,60 years or over,"26,950"
2590,2017,Denmark,Rural areas,Females,65 years or over,"25,247"
2591,2017,Denmark,Rural areas,Females,75 years or over,"21,778"
2592,2017,Germany (until 1990 former territory of the FRG),Cities,Males,Less than 18 years,"23,133"
2593,2017,Germany (until 1990 former territory of the FRG),Cities,Males,From 18 to 64 years,"26,208"
2594,2017,Germany (until 1990 former territory of the FRG),Cities,Males,18 years or over,"25,511"
2595,2017,Germany (until 1990 former territory of the FRG),Cities,Males,60 years or over,"23,607"
2596,2017,Germany (until 1990 former territory of the FRG),Cities,Males,65 years or over,"23,327"
2597,2017,Germany (until 1990 former territory of the FRG),Cities,Males,75 years or over,"23,137"
2598,2017,Germany (until 1990 former territory of the FRG),Cities,Females,Less than 18 years,"24,327"
2599,2017,Germany (until 1990 former territory of the FRG),Cities,Females,From 18 to 64 years,"24,993"
2600,2017,Germany (until 1990 former territory of the FRG),Cities,Females,18 years or over,"23,972"
2601,2017,Germany (until 1990 former territory of the FRG),Cities,Females,60 years or over,"21,761"
2602,2017,Germany (until 1990 former territory of the FRG),Cities,Females,65 years or over,"20,940"
2603,2017,Germany (until 1990 former territory of the FRG),Cities,Females,75 years or over,"20,602"
2604,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Males,Less than 18 years,"24,957"
2605,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Males,From 18 to 64 years,"27,326"
2606,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Males,18 years or over,"26,321"
2607,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Males,60 years or over,"24,229"
2608,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Males,65 years or over,"23,285"
2609,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Males,75 years or over,"22,636"
2610,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Females,Less than 18 years,"24,747"
2611,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Females,From 18 to 64 years,"26,340"
2612,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Females,18 years or over,"24,996"
2613,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Females,60 years or over,"22,111"
2614,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Females,65 years or over,"21,011"
2615,2017,Germany (until 1990 former territory of the FRG),Towns and suburbs,Females,75 years or over,"20,146"
2616,2017,Germany (until 1990 former territory of the FRG),Rural areas,Males,Less than 18 years,"21,709"
2617,2017,Germany (until 1990 former territory of the FRG),Rural areas,Males,From 18 to 64 years,"26,055"
2618,2017,Germany (until 1990 former territory of the FRG),Rural areas,Males,18 years or over,"25,092"
2619,2017,Germany (until 1990 former territory of the FRG),Rural areas,Males,60 years or over,"22,917"
2620,2017,Germany (until 1990 former territory of the FRG),Rural areas,Males,65 years or over,"21,598"
2621,2017,Germany (until 1990 former territory of the FRG),Rural areas,Males,75 years or over,"20,596"
2622,2017,Germany (until 1990 former territory of the FRG),Rural areas,Females,Less than 18 years,"21,637"
2623,2017,Germany (until 1990 former territory of the FRG),Rural areas,Females,From 18 to 64 years,"24,943"
2624,2017,Germany (until 1990 former territory of the FRG),Rural areas,Females,18 years or over,"23,760"
2625,2017,Germany (until 1990 former territory of the FRG),Rural areas,Females,60 years or over,"20,289"
2626,2017,Germany (until 1990 former territory of the FRG),Rural areas,Females,65 years or over,"19,513"
2627,2017,Germany (until 1990 former territory of the FRG),Rural areas,Females,75 years or over,"18,745"
2628,2017,Estonia,Cities,Males,Less than 18 years,"11,888"
2629,2017,Estonia,Cities,Males,From 18 to 64 years,"12,397"
2630,2017,Estonia,Cities,Males,18 years or over,"11,854"
2631,2017,Estonia,Cities,Males,60 years or over,"9,717"
2632,2017,Estonia,Cities,Males,65 years or over,"8,739"
2633,2017,Estonia,Cities,Males,75 years or over,"7,441"
2634,2017,Estonia,Cities,Females,Less than 18 years,"12,728"
2635,2017,Estonia,Cities,Females,From 18 to 64 years,"12,350"
2636,2017,Estonia,Cities,Females,18 years or over,"11,134"
2637,2017,Estonia,Cities,Females,60 years or over,"8,466"
2638,2017,Estonia,Cities,Females,65 years or over,"7,729"
2639,2017,Estonia,Cities,Females,75 years or over,"6,770"
2640,2017,Estonia,Towns and suburbs,Males,Less than 18 years,"9,985"
2641,2017,Estonia,Towns and suburbs,Males,From 18 to 64 years,"11,086"
2642,2017,Estonia,Towns and suburbs,Males,18 years or over,"10,595"
2643,2017,Estonia,Towns and suburbs,Males,60 years or over,"9,152"
2644,2017,Estonia,Towns and suburbs,Males,65 years or over,"8,501"
2645,2017,Estonia,Towns and suburbs,Males,75 years or over,"7,247"
2646,2017,Estonia,Towns and suburbs,Females,Less than 18 years,"10,406"
2647,2017,Estonia,Towns and suburbs,Females,From 18 to 64 years,"10,702"
2648,2017,Estonia,Towns and suburbs,Females,18 years or over,"9,578"
2649,2017,Estonia,Towns and suburbs,Females,60 years or over,"7,657"
2650,2017,Estonia,Towns and suburbs,Females,65 years or over,"7,163"
2651,2017,Estonia,Towns and suburbs,Females,75 years or over,"6,326"
2652,2017,Estonia,Rural areas,Males,Less than 18 years,"10,480"
2653,2017,Estonia,Rural areas,Males,From 18 to 64 years,"10,598"
2654,2017,Estonia,Rural areas,Males,18 years or over,"10,041"
2655,2017,Estonia,Rural areas,Males,60 years or over,"8,418"
2656,2017,Estonia,Rural areas,Males,65 years or over,"7,741"
2657,2017,Estonia,Rural areas,Males,75 years or over,"6,571"
2658,2017,Estonia,Rural areas,Females,Less than 18 years,"10,374"
2659,2017,Estonia,Rural areas,Females,From 18 to 64 years,"10,866"
2660,2017,Estonia,Rural areas,Females,18 years or over,"9,643"
2661,2017,Estonia,Rural areas,Females,60 years or over,"7,723"
2662,2017,Estonia,Rural areas,Females,65 years or over,"6,774"
2663,2017,Estonia,Rural areas,Females,75 years or over,"6,247"
2664,2017,Ireland,Cities,Males,Less than 18 years,"28,338"
2665,2017,Ireland,Cities,Males,From 18 to 64 years,"32,388"
2666,2017,Ireland,Cities,Males,18 years or over,"31,948"
2667,2017,Ireland,Cities,Males,60 years or over,"29,574"
2668,2017,Ireland,Cities,Males,65 years or over,"29,286"
2669,2017,Ireland,Cities,Males,75 years or over,"29,840"
2670,2017,Ireland,Cities,Females,Less than 18 years,"29,221"
2671,2017,Ireland,Cities,Females,From 18 to 64 years,"30,432"
2672,2017,Ireland,Cities,Females,18 years or over,"29,693"
2673,2017,Ireland,Cities,Females,60 years or over,"27,505"
2674,2017,Ireland,Cities,Females,65 years or over,"25,485"
2675,2017,Ireland,Cities,Females,75 years or over,"23,638"
2676,2017,Ireland,Towns and suburbs,Males,Less than 18 years,"23,132"
2677,2017,Ireland,Towns and suburbs,Males,From 18 to 64 years,"27,451"
2678,2017,Ireland,Towns and suburbs,Males,18 years or over,"26,887"
2679,2017,Ireland,Towns and suburbs,Males,60 years or over,"23,911"
2680,2017,Ireland,Towns and suburbs,Males,65 years or over,"23,005"
2681,2017,Ireland,Towns and suburbs,Males,75 years or over,"22,584"
2682,2017,Ireland,Towns and suburbs,Females,Less than 18 years,"22,962"
2683,2017,Ireland,Towns and suburbs,Females,From 18 to 64 years,"24,691"
2684,2017,Ireland,Towns and suburbs,Females,18 years or over,"24,239"
2685,2017,Ireland,Towns and suburbs,Females,60 years or over,"21,930"
2686,2017,Ireland,Towns and suburbs,Females,65 years or over,"21,681"
2687,2017,Ireland,Towns and suburbs,Females,75 years or over,"20,286"
2688,2017,Ireland,Rural areas,Males,Less than 18 years,"23,571"
2689,2017,Ireland,Rural areas,Males,From 18 to 64 years,"27,031"
2690,2017,Ireland,Rural areas,Males,18 years or over,"26,261"
2691,2017,Ireland,Rural areas,Males,60 years or over,"24,117"
2692,2017,Ireland,Rural areas,Males,65 years or over,"23,680"
2693,2017,Ireland,Rural areas,Males,75 years or over,"19,945"
2694,2017,Ireland,Rural areas,Females,Less than 18 years,"23,630"
2695,2017,Ireland,Rural areas,Females,From 18 to 64 years,"26,988"
2696,2017,Ireland,Rural areas,Females,18 years or over,"25,706"
2697,2017,Ireland,Rural areas,Females,60 years or over,"22,672"
2698,2017,Ireland,Rural areas,Females,65 years or over,"21,933"
2699,2017,Ireland,Rural areas,Females,75 years or over,"19,793"
2700,2017,Greece,Cities,Males,Less than 18 years,"8,865"
2701,2017,Greece,Cities,Males,From 18 to 64 years,"9,643"
2702,2017,Greece,Cities,Males,18 years or over,"9,715"
2703,2017,Greece,Cities,Males,60 years or over,"10,123"
2704,2017,Greece,Cities,Males,65 years or over,"10,008"
2705,2017,Greece,Cities,Males,75 years or over,"9,791"
2706,2017,Greece,Cities,Females,Less than 18 years,"8,816"
2707,2017,Greece,Cities,Females,From 18 to 64 years,"9,458"
2708,2017,Greece,Cities,Females,18 years or over,"9,463"
2709,2017,Greece,Cities,Females,60 years or over,"9,550"
2710,2017,Greece,Cities,Females,65 years or over,"9,481"
2711,2017,Greece,Cities,Females,75 years or over,"8,830"
2712,2017,Greece,Towns and suburbs,Males,Less than 18 years,"8,656"
2713,2017,Greece,Towns and suburbs,Males,From 18 to 64 years,"9,069"
2714,2017,Greece,Towns and suburbs,Males,18 years or over,"9,270"
2715,2017,Greece,Towns and suburbs,Males,60 years or over,"10,091"
2716,2017,Greece,Towns and suburbs,Males,65 years or over,"10,056"
2717,2017,Greece,Towns and suburbs,Males,75 years or over,"8,664"
2718,2017,Greece,Towns and suburbs,Females,Less than 18 years,"8,598"
2719,2017,Greece,Towns and suburbs,Females,From 18 to 64 years,"9,007"
2720,2017,Greece,Towns and suburbs,Females,18 years or over,"9,028"
2721,2017,Greece,Towns and suburbs,Females,60 years or over,"9,263"
2722,2017,Greece,Towns and suburbs,Females,65 years or over,"9,091"
2723,2017,Greece,Towns and suburbs,Females,75 years or over,"7,984"
2724,2017,Greece,Rural areas,Males,Less than 18 years,"7,010"
2725,2017,Greece,Rural areas,Males,From 18 to 64 years,"7,967"
2726,2017,Greece,Rural areas,Males,18 years or over,"8,009"
2727,2017,Greece,Rural areas,Males,60 years or over,"8,198"
2728,2017,Greece,Rural areas,Males,65 years or over,"8,099"
2729,2017,Greece,Rural areas,Males,75 years or over,"7,842"
2730,2017,Greece,Rural areas,Females,Less than 18 years,"7,226"
2731,2017,Greece,Rural areas,Females,From 18 to 64 years,"7,945"
2732,2017,Greece,Rural areas,Females,18 years or over,"7,752"
2733,2017,Greece,Rural areas,Females,60 years or over,"7,580"
2734,2017,Greece,Rural areas,Females,65 years or over,"7,410"
2735,2017,Greece,Rural areas,Females,75 years or over,"7,106"
2736,2017,Spain,Cities,Males,Less than 18 years,"17,058"
2737,2017,Spain,Cities,Males,From 18 to 64 years,"18,239"
2738,2017,Spain,Cities,Males,18 years or over,"18,371"
2739,2017,Spain,Cities,Males,60 years or over,"19,666"
2740,2017,Spain,Cities,Males,65 years or over,"18,908"
2741,2017,Spain,Cities,Males,75 years or over,"17,017"
2742,2017,Spain,Cities,Females,Less than 18 years,"16,808"
2743,2017,Spain,Cities,Females,From 18 to 64 years,"18,324"
2744,2017,Spain,Cities,Females,18 years or over,"18,077"
2745,2017,Spain,Cities,Females,60 years or over,"18,028"
2746,2017,Spain,Cities,Females,65 years or over,"17,326"
2747,2017,Spain,Cities,Females,75 years or over,"15,664"
2748,2017,Spain,Towns and suburbs,Males,Less than 18 years,"14,403"
2749,2017,Spain,Towns and suburbs,Males,From 18 to 64 years,"16,381"
2750,2017,Spain,Towns and suburbs,Males,18 years or over,"16,517"
2751,2017,Spain,Towns and suburbs,Males,60 years or over,"17,973"
2752,2017,Spain,Towns and suburbs,Males,65 years or over,"17,137"
2753,2017,Spain,Towns and suburbs,Males,75 years or over,"15,130"
2754,2017,Spain,Towns and suburbs,Females,Less than 18 years,"14,016"
2755,2017,Spain,Towns and suburbs,Females,From 18 to 64 years,"16,121"
2756,2017,Spain,Towns and suburbs,Females,18 years or over,"15,793"
2757,2017,Spain,Towns and suburbs,Females,60 years or over,"15,623"
2758,2017,Spain,Towns and suburbs,Females,65 years or over,"14,699"
2759,2017,Spain,Towns and suburbs,Females,75 years or over,"13,280"
2760,2017,Spain,Rural areas,Males,Less than 18 years,"12,143"
2761,2017,Spain,Rural areas,Males,From 18 to 64 years,"14,401"
2762,2017,Spain,Rural areas,Males,18 years or over,"14,278"
2763,2017,Spain,Rural areas,Males,60 years or over,"14,270"
2764,2017,Spain,Rural areas,Males,65 years or over,"13,882"
2765,2017,Spain,Rural areas,Males,75 years or over,"13,086"
2766,2017,Spain,Rural areas,Females,Less than 18 years,"12,682"
2767,2017,Spain,Rural areas,Females,From 18 to 64 years,"14,195"
2768,2017,Spain,Rural areas,Females,18 years or over,"13,847"
2769,2017,Spain,Rural areas,Females,60 years or over,"13,542"
2770,2017,Spain,Rural areas,Females,65 years or over,"12,891"
2771,2017,Spain,Rural areas,Females,75 years or over,"12,483"
2772,2017,France,Cities,Males,Less than 18 years,"23,257"
2773,2017,France,Cities,Males,From 18 to 64 years,"27,238"
2774,2017,France,Cities,Males,18 years or over,"27,873"
2775,2017,France,Cities,Males,60 years or over,"32,437"
2776,2017,France,Cities,Males,65 years or over,"30,402"
2777,2017,France,Cities,Males,75 years or over,"31,176"
2778,2017,France,Cities,Females,Less than 18 years,"22,480"
2779,2017,France,Cities,Females,From 18 to 64 years,"26,690"
2780,2017,France,Cities,Females,18 years or over,"27,611"
2781,2017,France,Cities,Females,60 years or over,"31,794"
2782,2017,France,Cities,Females,65 years or over,"30,523"
2783,2017,France,Cities,Females,75 years or over,"27,368"
2784,2017,France,Towns and suburbs,Males,Less than 18 years,"21,078"
2785,2017,France,Towns and suburbs,Males,From 18 to 64 years,"25,661"
2786,2017,France,Towns and suburbs,Males,18 years or over,"25,859"
2787,2017,France,Towns and suburbs,Males,60 years or over,"27,343"
2788,2017,France,Towns and suburbs,Males,65 years or over,"26,499"
2789,2017,France,Towns and suburbs,Males,75 years or over,"25,739"
2790,2017,France,Towns and suburbs,Females,Less than 18 years,"21,423"
2791,2017,France,Towns and suburbs,Females,From 18 to 64 years,"24,139"
2792,2017,France,Towns and suburbs,Females,18 years or over,"23,984"
2793,2017,France,Towns and suburbs,Females,60 years or over,"24,520"
2794,2017,France,Towns and suburbs,Females,65 years or over,"23,599"
2795,2017,France,Towns and suburbs,Females,75 years or over,"22,320"
2796,2017,France,Rural areas,Males,Less than 18 years,"22,335"
2797,2017,France,Rural areas,Males,From 18 to 64 years,"24,791"
2798,2017,France,Rural areas,Males,18 years or over,"25,053"
2799,2017,France,Rural areas,Males,60 years or over,"26,052"
2800,2017,France,Rural areas,Males,65 years or over,"25,862"
2801,2017,France,Rural areas,Males,75 years or over,"24,596"
2802,2017,France,Rural areas,Females,Less than 18 years,"21,458"
2803,2017,France,Rural areas,Females,From 18 to 64 years,"24,135"
2804,2017,France,Rural areas,Females,18 years or over,"24,245"
2805,2017,France,Rural areas,Females,60 years or over,"24,926"
2806,2017,France,Rural areas,Females,65 years or over,"24,545"
2807,2017,France,Rural areas,Females,75 years or over,"22,610"
2808,2017,Croatia,Cities,Males,Less than 18 years,"8,193"
2809,2017,Croatia,Cities,Males,From 18 to 64 years,"8,559"
2810,2017,Croatia,Cities,Males,18 years or over,"8,286"
2811,2017,Croatia,Cities,Males,60 years or over,"7,581"
2812,2017,Croatia,Cities,Males,65 years or over,"7,338"
2813,2017,Croatia,Cities,Males,75 years or over,"7,381"
2814,2017,Croatia,Cities,Females,Less than 18 years,"8,019"
2815,2017,Croatia,Cities,Females,From 18 to 64 years,"8,540"
2816,2017,Croatia,Cities,Females,18 years or over,"7,986"
2817,2017,Croatia,Cities,Females,60 years or over,"6,849"
2818,2017,Croatia,Cities,Females,65 years or over,"6,515"
2819,2017,Croatia,Cities,Females,75 years or over,"6,221"
2820,2017,Croatia,Towns and suburbs,Males,Less than 18 years,"6,547"
2821,2017,Croatia,Towns and suburbs,Males,From 18 to 64 years,"7,198"
2822,2017,Croatia,Towns and suburbs,Males,18 years or over,"7,002"
2823,2017,Croatia,Towns and suburbs,Males,60 years or over,"6,483"
2824,2017,Croatia,Towns and suburbs,Males,65 years or over,"6,178"
2825,2017,Croatia,Towns and suburbs,Males,75 years or over,"6,028"
2826,2017,Croatia,Towns and suburbs,Females,Less than 18 years,"6,487"
2827,2017,Croatia,Towns and suburbs,Females,From 18 to 64 years,"7,048"
2828,2017,Croatia,Towns and suburbs,Females,18 years or over,"6,678"
2829,2017,Croatia,Towns and suburbs,Females,60 years or over,"5,831"
2830,2017,Croatia,Towns and suburbs,Females,65 years or over,"5,608"
2831,2017,Croatia,Towns and suburbs,Females,75 years or over,"5,264"
2832,2017,Croatia,Rural areas,Males,Less than 18 years,"5,684"
2833,2017,Croatia,Rural areas,Males,From 18 to 64 years,"6,463"
2834,2017,Croatia,Rural areas,Males,18 years or over,"6,269"
2835,2017,Croatia,Rural areas,Males,60 years or over,"5,595"
2836,2017,Croatia,Rural areas,Males,65 years or over,"5,417"
2837,2017,Croatia,Rural areas,Males,75 years or over,"5,258"
2838,2017,Croatia,Rural areas,Females,Less than 18 years,"5,775"
2839,2017,Croatia,Rural areas,Females,From 18 to 64 years,"6,318"
2840,2017,Croatia,Rural areas,Females,18 years or over,"5,938"
2841,2017,Croatia,Rural areas,Females,60 years or over,"5,051"
2842,2017,Croatia,Rural areas,Females,65 years or over,"4,897"
2843,2017,Croatia,Rural areas,Females,75 years or over,"4,591"
2844,2017,Italy,Cities,Males,Less than 18 years,"17,516"
2845,2017,Italy,Cities,Males,From 18 to 64 years,"20,374"
2846,2017,Italy,Cities,Males,18 years or over,"21,221"
2847,2017,Italy,Cities,Males,60 years or over,"23,911"
2848,2017,Italy,Cities,Males,65 years or over,"23,827"
2849,2017,Italy,Cities,Males,75 years or over,"21,897"
2850,2017,Italy,Cities,Females,Less than 18 years,"17,035"
2851,2017,Italy,Cities,Females,From 18 to 64 years,"19,780"
2852,2017,Italy,Cities,Females,18 years or over,"20,021"
2853,2017,Italy,Cities,Females,60 years or over,"21,359"
2854,2017,Italy,Cities,Females,65 years or over,"20,595"
2855,2017,Italy,Cities,Females,75 years or over,"18,823"
