"TIME","GEO","UNIT","INDIC_IL","DEG_URB","SEX","AGE","Value","Flag and Footnotes"
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Females","75 years or over","18,024",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Males","Less than 18 years","23,114",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Males","From 18 to 64 years","25,255",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Males","18 years or over","24,411",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Males","60 years or over","21,618",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Males","65 years or over","20,697",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Males","75 years or over","18,224",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Females","Less than 18 years","22,742",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Females","From 18 to 64 years","24,181",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Females","18 years or over","22,765",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Females","60 years or over","19,365",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Females","65 years or over","18,176",""
"2015","Belgium","Euro","Mean equivalised net income","Rural areas","Females","75 years or over","16,684",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","5,501",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","5,900",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Males","18 years or over","5,586",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Males","60 years or over","5,004",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Males","65 years or over","4,030",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Males","75 years or over","3,357",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","4,920",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Females","From 18 to 64 years","5,428",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Females","18 years or over","4,948",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Females","60 years or over","3,706",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Females","65 years or over","3,330",""
"2015","Bulgaria","Euro","Mean equivalised net income","Cities","Females","75 years or over","2,854",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Males","Less than 18 years","3,395",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Males","From 18 to 64 years","3,837",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Males","18 years or over","3,717",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Males","60 years or over","3,363",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Males","65 years or over","3,157",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Males","75 years or over","2,834",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Females","Less than 18 years","3,523",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Females","From 18 to 64 years","3,891",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Females","18 years or over","3,604",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Females","60 years or over","2,970",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Females","65 years or over","2,762",""
"2015","Bulgaria","Euro","Mean equivalised net income","Towns and suburbs","Females","75 years or over","2,569",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Males","Less than 18 years","2,570",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Males","From 18 to 64 years","3,129",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Males","18 years or over","3,039",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Males","60 years or over","2,867",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Males","65 years or over","2,789",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Males","75 years or over","2,597",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Females","Less than 18 years","2,567",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Females","From 18 to 64 years","3,132",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Females","18 years or over","2,880",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Females","60 years or over","2,554",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Females","65 years or over","2,422",""
"2015","Bulgaria","Euro","Mean equivalised net income","Rural areas","Females","75 years or over","2,246",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","9,525",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","9,845",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Males","18 years or over","9,438",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Males","60 years or over","8,297",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Males","65 years or over","7,946",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Males","75 years or over","7,160",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","8,845",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Females","From 18 to 64 years","9,492",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Females","18 years or over","8,827",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Females","60 years or over","7,430",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Females","65 years or over","6,858",""
"2015","Czechia","Euro","Mean equivalised net income","Cities","Females","75 years or over","6,560",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Males","Less than 18 years","7,520",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Males","From 18 to 64 years","8,673",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Males","18 years or over","8,339",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Males","60 years or over","7,369",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Males","65 years or over","6,924",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Males","75 years or over","6,447",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Females","Less than 18 years","7,304",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Females","From 18 to 64 years","8,371",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Females","18 years or over","7,875",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Females","60 years or over","6,759",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Females","65 years or over","6,341",""
"2015","Czechia","Euro","Mean equivalised net income","Towns and suburbs","Females","75 years or over","5,983",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Males","Less than 18 years","7,876",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Males","From 18 to 64 years","8,604",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Males","18 years or over","8,324",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Males","60 years or over","7,321",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Males","65 years or over","6,990",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Males","75 years or over","6,537",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Females","Less than 18 years","7,788",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Females","From 18 to 64 years","8,276",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Females","18 years or over","7,846",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Females","60 years or over","6,706",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Females","65 years or over","6,380",""
"2015","Czechia","Euro","Mean equivalised net income","Rural areas","Females","75 years or over","6,019",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","29,765",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","32,231",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Males","18 years or over","32,210",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Males","60 years or over","33,850",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Males","65 years or over","32,096",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Males","75 years or over","25,594",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","33,569",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Females","From 18 to 64 years","30,979",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Females","18 years or over","30,351",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Females","60 years or over","29,004",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Females","65 years or over","27,851",""
"2015","Denmark","Euro","Mean equivalised net income","Cities","Females","75 years or over","24,858",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Males","Less than 18 years","34,324",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Males","From 18 to 64 years","36,461",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Males","18 years or over","35,051",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Males","60 years or over","33,202",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Males","65 years or over","30,400",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Males","75 years or over","26,202",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Females","Less than 18 years","39,591",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Females","From 18 to 64 years","36,316",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Females","18 years or over","34,014",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Females","60 years or over","30,504",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Females","65 years or over","28,437",""
"2015","Denmark","Euro","Mean equivalised net income","Towns and suburbs","Females","75 years or over","23,730",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Males","Less than 18 years","29,420",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Males","From 18 to 64 years","32,263",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Males","18 years or over","30,892",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Males","60 years or over","29,145",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Males","65 years or over","27,118",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Males","75 years or over","24,288",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Females","Less than 18 years","27,163",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Females","From 18 to 64 years","31,955",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Females","18 years or over","30,317",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Females","60 years or over","28,362",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Females","65 years or over","26,113",""
"2015","Denmark","Euro","Mean equivalised net income","Rural areas","Females","75 years or over","25,974",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","23,076",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","24,722",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Males","18 years or over","24,226",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Males","60 years or over","22,735",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Males","65 years or over","22,680",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Males","75 years or over","23,285",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","25,243",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Females","From 18 to 64 years","23,696",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Females","18 years or over","22,875",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Females","60 years or over","20,770",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Females","65 years or over","20,549",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Cities","Females","75 years or over","20,298",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Males","Less than 18 years","22,442",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Males","From 18 to 64 years","26,152",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Males","18 years or over","25,311",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Males","60 years or over","23,279",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Males","65 years or over","22,884",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Males","75 years or over","22,432",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Females","Less than 18 years","21,861",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Females","From 18 to 64 years","24,460",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Females","18 years or over","23,360",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Females","60 years or over","20,914",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Females","65 years or over","20,128",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Towns and suburbs","Females","75 years or over","19,271",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Males","Less than 18 years","19,650",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Males","From 18 to 64 years","24,391",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Males","18 years or over","23,548",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Males","60 years or over","20,981",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Males","65 years or over","20,681",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Males","75 years or over","20,797",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Females","Less than 18 years","21,208",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Females","From 18 to 64 years","23,526",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Females","18 years or over","22,653",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Females","60 years or over","20,146",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Females","65 years or over","19,594",""
"2015","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Rural areas","Females","75 years or over","19,736",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","9,917",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","11,223",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Males","18 years or over","10,748",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Males","60 years or over","8,578",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Males","65 years or over","8,128",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Males","75 years or over","6,855",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","11,412",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Females","From 18 to 64 years","11,134",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Females","18 years or over","9,985",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Females","60 years or over","7,416",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Females","65 years or over","6,600",""
"2015","Estonia","Euro","Mean equivalised net income","Cities","Females","75 years or over","6,174",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Males","Less than 18 years","9,085",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Males","From 18 to 64 years","9,661",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Males","18 years or over","9,116",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Males","60 years or over","7,680",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Males","65 years or over","6,704",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Males","75 years or over","6,257",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Females","Less than 18 years","8,320",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Females","From 18 to 64 years","9,206",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Females","18 years or over","8,278",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Females","60 years or over","6,606",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Females","65 years or over","6,000",""
"2015","Estonia","Euro","Mean equivalised net income","Towns and suburbs","Females","75 years or over","5,547",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Males","Less than 18 years","8,984",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Males","From 18 to 64 years","9,516",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Males","18 years or over","9,028",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Males","60 years or over","7,355",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Males","65 years or over","6,772",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Males","75 years or over","6,025",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Females","Less than 18 years","8,936",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Females","From 18 to 64 years","9,783",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Females","18 years or over","8,634",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Females","60 years or over","6,507",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Females","65 years or over","5,919",""
"2015","Estonia","Euro","Mean equivalised net income","Rural areas","Females","75 years or over","5,686",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","26,981",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","28,775",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Males","18 years or over","28,823",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Males","60 years or over","29,529",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Males","65 years or over","29,105",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Males","75 years or over","27,892",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","25,506",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Females","From 18 to 64 years","27,296",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Females","18 years or over","27,024",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Females","60 years or over","25,634",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Females","65 years or over","25,693",""
"2015","Ireland","Euro","Mean equivalised net income","Cities","Females","75 years or over","23,555",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Males","Less than 18 years","22,522",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Males","From 18 to 64 years","25,418",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Males","18 years or over","25,092",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Males","60 years or over","23,627",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Males","65 years or over","22,895",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Males","75 years or over","22,666",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Females","Less than 18 years","22,288",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Females","From 18 to 64 years","24,017",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Females","18 years or over","23,841",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Females","60 years or over","22,726",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Females","65 years or over","22,810",""
"2015","Ireland","Euro","Mean equivalised net income","Towns and suburbs","Females","75 years or over","19,637",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Males","Less than 18 years","22,392",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Males","From 18 to 64 years","24,202",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Males","18 years or over","23,632",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Males","60 years or over","22,220",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Males","65 years or over","21,441",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Males","75 years or over","19,198",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Females","Less than 18 years","22,006",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Females","From 18 to 64 years","24,195",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Females","18 years or over","23,344",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Females","60 years or over","21,479",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Females","65 years or over","20,317",""
"2015","Ireland","Euro","Mean equivalised net income","Rural areas","Females","75 years or over","19,081",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","8,572",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","9,652",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Males","18 years or over","9,774",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Males","60 years or over","10,247",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Males","65 years or over","10,289",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Males","75 years or over","9,742",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","8,829",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Females","From 18 to 64 years","9,393",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Females","18 years or over","9,405",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Females","60 years or over","9,564",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Females","65 years or over","9,443",""
"2015","Greece","Euro","Mean equivalised net income","Cities","Females","75 years or over","8,546",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Males","Less than 18 years","8,570",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Males","From 18 to 64 years","9,254",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Males","18 years or over","9,306",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Males","60 years or over","9,735",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Males","65 years or over","9,514",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Males","75 years or over","8,718",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Females","Less than 18 years","8,506",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Females","From 18 to 64 years","9,317",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Females","18 years or over","9,180",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Females","60 years or over","9,070",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Females","65 years or over","8,747",""
"2015","Greece","Euro","Mean equivalised net income","Towns and suburbs","Females","75 years or over","8,252",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Males","Less than 18 years","6,749",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Males","From 18 to 64 years","7,725",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Males","18 years or over","7,786",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Males","60 years or over","8,146",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Males","65 years or over","7,928",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Males","75 years or over","7,796",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Females","Less than 18 years","7,301",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Females","From 18 to 64 years","7,535",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Females","18 years or over","7,455",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Females","60 years or over","7,361",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Females","65 years or over","7,295",""
"2015","Greece","Euro","Mean equivalised net income","Rural areas","Females","75 years or over","7,004",""
"2015","Spain","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","15,233",""
"2015","Spain","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","17,223",""
"2015","Spain","Euro","Mean equivalised net income","Cities","Males","18 years or over","17,508",""
"2015","Spain","Euro","Mean equivalised net income","Cities","Males","60 years or over","19,337",""
"2015","Spain","Euro","Mean equivalised net income","Cities","Males","65 years or over","18,670",""
"2015","Spain","Euro","Mean equivalised net income","Cities","Males","75 years or over","16,473",""
"2015","Spain","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","15,611",""
